retailer_domain,coverage_count,visibility_score
cigarcountry.com,20,13.7417
cigarsinternational.com,20,8.3246
bestcigarprices.com,12,6.2667
jrcigars.com,17,4.5706
holts.com,10,3.0206
foxcigar.com,13,2.9107
cigarscity.com,6,2.5167
neptunecigar.com,14,2.3607
hilandscigars.com,11,2.3222
nickscigarworld.com,7,2.3111
cigarking.com,8,2.0679
cigarsdaily.com,8,1.8373
cigarplace.biz,9,1.7623
cigar.com,7,1.5512
casademontecristo.com,2,1.5
cigarsdirect.com,9,1.4806
mikescigars.com,7,1.269
cigarcellarofmiami.com,1,1.0
cuencacigars.com,6,0.919
thompsoncigar.com,3,0.7778
tobaccostock.com,4,0.7429
atlanticcigar.com,4,0.6806
2guyscigars.com,4,0.5361
mardocigars.com,1,0.5
lmcigars.com,4,0.4762
famous-smoke.com,3,0.475
absolutecigars.com,3,0.3361
xocigars.com,1,0.3333
boswellpipes.com,1,0.25
us.egmcigars.com,1,0.25
myfathercigars.com,1,0.2
cigarhumidors-online.com,1,0.1667
flagstaffliquor.com,1,0.1667
littlehavanacigars.com,1,0.1667
pipesandcigars.com,1,0.1429
vaporluxworld.com,1,0.1429
windycitycigars.com,1,0.1429
cigarterminal.com,1,0.125
tiptopsmoke.com,1,0.125
coronacigar.com,1,0.1111
thecigarstore.com,1,0.1111
vitolafinecigars.com,1,0.1111
woodencork.com,1,0.1111
elcigarshop.com,1,0.1
mailcubancigars.com,1,0.1
specsonline.com,1,0.1
tobaccolocker.com,1,0.1
