date,cigar_id,retailers_tracking,avg_price,min_price,max_price,price_spread,spread_pct,in_stock_count,out_of_stock_count
2025-11-24,ARTUROFUENTE|ARTUROFUENTE|OPUSX|ROBUSTO|ROBUSTO|5.25x50|DOM|BOX29,1,1649.99,1649.99,1649.99,0.0,0.0,0,1
2025-11-24,COHIBA||REDDOT|ROBUSTO|ROBUSTO|5x49|CAM|BOX25,3,458.64,409.99,535.99,126.0,27.5,3,0
2025-11-24,PADRON|PADRON|1964ANNIVERSARY|DIPLOMATICO|DIPLOMATICO|7x50|MAD|BOX25,13,448.84,409.5,491.0,81.5,18.2,11,2
2025-11-24,PADRON|PADRON|1964ANNIVERSARY|DIPLOMATICO|DIPLOMATICO|7x50|NAT|BOX25,9,448.66,409.5,491.0,81.5,18.2,8,1
2025-11-24,ASHTON|ASHTON|VSG|ROBUSTO|ROBUSTO|5.5x50|ECU|BOX24,9,349.64,326.95,421.98,95.03,27.2,9,0
2025-11-24,ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|CLASSIC|CLASSIC|7x48|CAM|BOX25,13,278.43,235.95,330.0,94.05,33.8,13,0
2025-11-24,MYFATHER|MYFATHER|THEJUDGE|GRANDROBUSTO|GRANDROBUSTO|5.625x60|ECU|BOX23,11,268.1,209.98,306.0,96.02,35.8,8,3
2025-11-24,ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|BESTSELLER|BESTSELLER|4.5x55|MAD|BOX25,5,257.64,217.95,285.0,67.05,26.0,2,3
2025-11-24,ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SIGNATURE|SIGNATURE|6x46|CAM|BOX25,11,254.13,209.95,310.0,100.05,39.4,10,1
2025-11-24,MYFATHER|MYFATHER|LEBIJOU1922|TORO|TORO|6.5x52|NIC|BOX23,10,251.57,210.98,283.0,72.02,28.6,8,2
2025-11-24,DREWESTATE|DREWESTATE|HERRERAESTELINORTENO|LONSDALEDELUXE|LONSDALEDELUXE|6.25x44|MEX|BOX25,4,246.22,224.95,284.0,59.05,24.0,2,2
2025-11-24,PERDOMO|PERDOMO|RESERVE10THANNIVERSARYCHAMPAGNE|EPICURE|EPICURE|6x54|ECU|BOX25,13,235.93,179.99,269.0,89.01,37.7,12,1
2025-11-24,ROMEOYJULIETA|ROMEOYJULIETA|1875|CHURCHILL|CHURCHILL|7x50|IND|BOX25,11,217.99,174.04,321.0,146.96,67.4,9,2
2025-11-24,ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|BESTSELLER|BESTSELLER|4.5x55|CAM|BOX25,11,209.22,178.95,243.99,65.04,31.1,7,4
2025-11-24,FOUNDATION|OLMEC|OLMEC|TORO|TORO|6x52|MAD|BOX12,7,175.3,160.92,194.0,33.08,18.9,6,1
2025-11-24,HOYODEMONTERREY|HOYODEMONTERREY|EXCALIBUR|EPICURE|EPICURE|5.25x50|CT|BOX20,8,156.26,132.97,203.0,70.03,44.8,8,0
